run_id,evaluator_id,packet_id,replicate_id,arrangement_id,position,nickname,condition_id,source_output_path,word_count,scientific_fidelity,article_structure,reader_orientation,cohesion_coherence,evidence_uncertainty,style_readability,constraint_following,total_score,rank,one_sentence_justification
run-2026-05-01-D002,E1,packet_1cfba51daa,R3,A5,5,Quartz,C4,comparing/authoring_results/run-2026-05-01-D002/C4_R3.md,1770,19,14,14,19,15,9,5,95,3,"Accurate and well organized with strong caveats, though slightly less complete and somewhat methods-like in presentation."
run-2026-05-01-D002,E1,packet_1cfba51daa,R3,A5,3,Lantern,C2,comparing/authoring_results/run-2026-05-01-D002/C2_R3.md,1540,19,14,14,18,15,9,5,94,4,"Concise and faithful with good uncertainty handling, but less comprehensive and slightly less developed than the top entries."
run-2026-05-01-D002,E1,packet_1cfba51daa,R3,A5,4,Meadow,C3,comparing/authoring_results/run-2026-05-01-D002/C3_R3.md,1565,19,13,14,18,14,9,4,91,5,"Scientifically sound overall, but the reconstructed Methods framing and slightly weaker narrative integration lower its score."
run-2026-05-01-D002,E1,packet_2b4a406b49,R2,A2,1,Vale,C2,comparing/authoring_results/run-2026-05-01-D002/C2_R2.md,1802,20,15,15,19,15,9,4,97,1,"Most complete and best organized synthesis, with excellent isoform specificity, mechanistic coverage, quantitative detail, and cautious handling of organoid and disease claims."
run-2026-05-01-D002,E1,packet_2b4a406b49,R2,A2,2,Dawn,C3,comparing/authoring_results/run-2026-05-01-D002/C3_R2.md,1802,19,14,15,19,15,9,4,95,2,"Highly faithful and well oriented article that clearly connects DVL binding, CASP5C catalysis, APC cleavage, and organoid phenotypes while avoiding overclaiming."
run-2026-05-01-D002,E1,packet_2b4a406b49,R2,A2,3,Granite,C4,comparing/authoring_results/run-2026-05-01-D002/C4_R2.md,1619,19,14,14,18,15,9,4,93,3,"Accurate and concise account with strong mechanism and uncertainty handling, though slightly less fully oriented and less integrated than the top two."
run-2026-05-01-D002,E1,packet_2b4a406b49,R2,A2,5,Zephyr,C1,comparing/authoring_results/run-2026-05-01-D002/C1_R2.md,1791,19,14,14,18,14,9,4,92,4,"Polished and coherent article with careful boundaries, but it is somewhat less complete on quantitative transcript details and places disease associations less cleanly."
run-2026-05-01-D002,E1,packet_2b4a406b49,R2,A2,4,Ember,C5,comparing/authoring_results/run-2026-05-01-D002/C5_R2.md,1661,18,13,14,17,14,9,4,89,5,"Faithful and readable summary of the core story, but it is more compressed and structurally less developed than the other submissions."
run-2026-05-01-D002,E1,packet_2fba4c53cc,R2,A4,1,Granite,C4,comparing/authoring_results/run-2026-05-01-D002/C4_R2.md,1619,20,15,15,20,15,9,5,99,1,"Most complete and balanced reconstruction, with excellent isoform specificity, mechanism coverage, and explicit uncertainty boundaries."
run-2026-05-01-D002,E1,packet_2fba4c53cc,R2,A4,4,Vale,C2,comparing/authoring_results/run-2026-05-01-D002/C2_R2.md,1802,19,15,15,19,15,9,5,97,2,"Highly faithful and well organized, with strong caution around isoforms, repair, disease, and APC cleavage site uncertainty."
run-2026-05-01-D002,E1,packet_2fba4c53cc,R2,A4,2,Ember,C5,comparing/authoring_results/run-2026-05-01-D002/C5_R2.md,1661,19,14,15,19,15,9,5,96,3,"Clear and accurate account of the core findings, though slightly less complete on supporting expression and localization details."
run-2026-05-01-D002,E1,packet_2fba4c53cc,R2,A4,5,Dawn,C3,comparing/authoring_results/run-2026-05-01-D002/C3_R2.md,1802,19,14,14,19,14,9,5,94,4,"Strong mechanistic narrative, but with a few small compressions and slightly stronger framing than the dossier supports."
run-2026-05-01-D002,E1,packet_2fba4c53cc,R2,A4,3,Zephyr,C1,comparing/authoring_results/run-2026-05-01-D002/C1_R2.md,1791,19,13,14,19,14,9,5,93,5,"Scientifically solid and cautious, but the long lightly segmented Results section weakens structure and reader orientation."
run-2026-05-01-D002,E1,packet_561af11b5e,R3,A1,1,Summit,C1,comparing/authoring_results/run-2026-05-01-D002/C1_R3.md,1818,20,15,15,20,15,9,3,97,1,"Most complete and coherent article, with excellent caveats and mechanism coverage, though it exceeds the target length."
run-2026-05-01-D002,E1,packet_561af11b5e,R3,A1,2,Lantern,C2,comparing/authoring_results/run-2026-05-01-D002/C2_R3.md,1540,20,14,15,19,15,9,4,96,2,Excellent fidelity and reader orientation with strong uncertainty handling and better concision than Summit.
run-2026-05-01-D002,E1,packet_561af11b5e,R3,A1,3,Meadow,C3,comparing/authoring_results/run-2026-05-01-D002/C3_R3.md,1565,19,13,14,18,14,8,4,90,4,"Accurate and complete, but its methods-style framing and slightly less polished flow make it weaker than the top entries."
run-2026-05-01-D002,E1,packet_561af11b5e,R3,A1,4,Quartz,C4,comparing/authoring_results/run-2026-05-01-D002/C4_R3.md,1770,19,14,14,18,15,8,4,92,3,"Highly faithful and well caveated, with strong structure but a somewhat artificial reconstruction-style framing."
run-2026-05-01-D002,E1,packet_561af11b5e,R3,A1,5,Ivory,C5,comparing/authoring_results/run-2026-05-01-D002/C5_R3.md,1691,18,13,14,17,14,8,5,89,5,"Concise and generally faithful, but less polished and slightly less nuanced than the stronger articles."
run-2026-05-01-D002,E1,packet_673addee4f,R1,A3,1,Fjord,C3,comparing/authoring_results/run-2026-05-01-D002/C3_R1.md,1798,20,15,15,20,15,10,4,99,1,"Most complete and polished account, with excellent mechanistic fidelity and careful limits on direct binding, in vivo repair, disease causality, and therapeutic claims."
run-2026-05-01-D002,E1,packet_673addee4f,R1,A3,2,Tundra,C4,comparing/authoring_results/run-2026-05-01-D002/C4_R1.md,1811,20,14,15,19,15,9,4,96,2,"Very faithful and well oriented, with strong uncertainty handling, though the Methods section makes it read slightly more like a structured synthesis than a polished article."
run-2026-05-01-D002,E1,packet_673addee4f,R1,A3,4,Amber,C1,comparing/authoring_results/run-2026-05-01-D002/C1_R1.md,1780,19,14,14,19,14,9,4,93,3,"Accurate, concise, and cohesive coverage of the CASP5C-DVL-APC mechanism, with only modest structural awkwardness from the late methods summary and slightly less depth on some limits."
run-2026-05-01-D002,E1,packet_673addee4f,R1,A3,5,Ridge,C2,comparing/authoring_results/run-2026-05-01-D002/C2_R1.md,1808,19,14,14,18,14,9,4,92,4,"Clear and mostly faithful sectioned article, but a few phrasings are slightly less precise and the presentation is more review-like than the strongest entries."
run-2026-05-01-D002,E1,packet_673addee4f,R1,A3,3,Juniper,C5,comparing/authoring_results/run-2026-05-01-D002/C5_R1.md,1808,19,13,14,18,15,8,4,91,5,"Scientifically careful and comprehensive, but less cohesive and polished, with a long segmented Results flow and a few mildly speculative interpretive phrases."
run-2026-05-01-D002,E1,packet_6da0b5da8f,R1,A4,1,Tundra,C4,comparing/authoring_results/run-2026-05-01-D002/C4_R1.md,1811,20,15,15,19,15,9,5,98,1,"Most complete and well-structured reconstruction, with excellent fidelity to isoform specificity, APC cleavage nuance, organoid limits, and associative disease claims."
run-2026-05-01-D002,E1,packet_6da0b5da8f,R1,A4,2,Juniper,C5,comparing/authoring_results/run-2026-05-01-D002/C5_R1.md,1808,20,14,15,19,15,9,5,97,2,"Highly faithful and very clear, especially on uncertainty and limitations, though slightly less explicitly scaffolded than the strongest article."
run-2026-05-01-D002,E1,packet_6da0b5da8f,R1,A4,5,Fjord,C3,comparing/authoring_results/run-2026-05-01-D002/C3_R1.md,1798,19,14,14,19,15,9,5,95,3,"Polished and cohesive with careful caveats, but a bit less complete in orientation and methodological framing than the top two."
run-2026-05-01-D002,E1,packet_6da0b5da8f,R1,A4,3,Amber,C1,comparing/authoring_results/run-2026-05-01-D002/C1_R1.md,1780,19,13,14,18,14,9,5,92,4,"Accurate and readable with good mechanistic coverage, but the late methods summary and compressed framing make it somewhat less effective structurally."
run-2026-05-01-D002,E1,packet_6da0b5da8f,R1,A4,4,Ridge,C2,comparing/authoring_results/run-2026-05-01-D002/C2_R1.md,1808,18,13,14,18,14,9,5,91,5,"Faithful and clear overall, but comparatively less precise in a few phrasings and more sectional than fully synthesized."
run-2026-05-01-D002,E1,packet_7f8c76a2df,R1,A2,1,Ridge,C2,comparing/authoring_results/run-2026-05-01-D002/C2_R1.md,1808,20,15,15,19,15,9,5,98,1,"Most complete and polished synthesis, with excellent fidelity and careful limits on mechanism, organoids and disease associations."
run-2026-05-01-D002,E1,packet_7f8c76a2df,R1,A2,2,Fjord,C3,comparing/authoring_results/run-2026-05-01-D002/C3_R1.md,1798,20,14,15,19,15,9,5,97,2,"Very faithful and well calibrated, only slightly less article-shaped than Ridge because much evidence sits in one broad Results section."
run-2026-05-01-D002,E1,packet_7f8c76a2df,R1,A2,3,Tundra,C4,comparing/authoring_results/run-2026-05-01-D002/C4_R1.md,1811,19,13,14,18,14,9,5,92,3,"Highly accurate and comprehensive, but the methods-heavy structure is less elegant and a few phrases slightly overstate organoid evidence."
run-2026-05-01-D002,E1,packet_7f8c76a2df,R1,A2,4,Juniper,C5,comparing/authoring_results/run-2026-05-01-D002/C5_R1.md,1808,19,13,14,18,15,8,5,92,4,"Careful and accurate with strong uncertainty handling, though the prose is more segmented and one irradiation interpretation is mildly inferential."
run-2026-05-01-D002,E1,packet_7f8c76a2df,R1,A2,5,Amber,C1,comparing/authoring_results/run-2026-05-01-D002/C1_R1.md,1780,18,13,14,18,14,8,5,90,5,"Accurate and readable overall, but slightly less complete and somewhat weakened by a report-like methods summary and modest overstatement of homeostatic implications."
run-2026-05-01-D002,E1,packet_8f2288ad73,R3,A2,1,Lantern,C2,comparing/authoring_results/run-2026-05-01-D002/C2_R3.md,1540,20,15,15,20,15,10,5,100,1,Most complete and balanced article with excellent mechanistic flow and consistently precise caveats.
run-2026-05-01-D002,E1,packet_8f2288ad73,R3,A2,2,Meadow,C3,comparing/authoring_results/run-2026-05-01-D002/C3_R3.md,1565,20,15,15,19,15,9,5,98,2,"Highly faithful and well oriented with strong experimental organization, though slightly more list-like in presentation."
run-2026-05-01-D002,E1,packet_8f2288ad73,R3,A2,3,Quartz,C4,comparing/authoring_results/run-2026-05-01-D002/C4_R3.md,1770,19,15,14,19,15,10,5,97,3,"Very clear and accurate synthesis with strong caveats, missing only a little of the depth and orientation of the top two."
run-2026-05-01-D002,E1,packet_8f2288ad73,R3,A2,5,Summit,C1,comparing/authoring_results/run-2026-05-01-D002/C1_R3.md,1818,19,14,14,19,15,10,5,96,4,"Polished and faithful with a strong mechanism-first narrative, but somewhat more compressed in coverage and setup."
run-2026-05-01-D002,E1,packet_8f2288ad73,R3,A2,4,Ivory,C5,comparing/authoring_results/run-2026-05-01-D002/C5_R3.md,1691,19,14,14,18,14,10,5,94,5,"Readable and accurate overall, but less complete and slightly less nuanced in a few biological implications."
run-2026-05-01-D002,E1,packet_9d5f76d5f3,R1,A1,1,Amber,C1,comparing/authoring_results/run-2026-05-01-D002/C1_R1.md,1780,20,15,15,20,15,10,4,99,1,"Most complete and coherent synthesis, with excellent isoform specificity, mechanistic precision, and disease caveats, though somewhat long for the target."
run-2026-05-01-D002,E1,packet_9d5f76d5f3,R1,A1,2,Ridge,C2,comparing/authoring_results/run-2026-05-01-D002/C2_R1.md,1808,20,15,15,19,15,10,4,98,2,"Very accurate and well organized with strong uncertainty handling, only slightly less integrated and complete than Amber."
run-2026-05-01-D002,E1,packet_9d5f76d5f3,R1,A1,3,Fjord,C3,comparing/authoring_results/run-2026-05-01-D002/C3_R1.md,1798,19,14,14,19,15,10,4,95,3,"Clear and faithful article that handles caveats well, but is a little less comprehensive and structurally developed than the top two."
run-2026-05-01-D002,E1,packet_9d5f76d5f3,R1,A1,5,Juniper,C5,comparing/authoring_results/run-2026-05-01-D002/C5_R1.md,1808,19,14,14,18,15,9,4,93,4,"Careful and accurate with good caveats, but the prose is more segmented and summary-like than the stronger entries."
run-2026-05-01-D002,E1,packet_9d5f76d5f3,R1,A1,4,Tundra,C4,comparing/authoring_results/run-2026-05-01-D002/C4_R1.md,1811,19,14,14,18,14,9,4,92,5,"Scientifically solid and complete, but the methods-heavy structure and a few broader framing statements make it slightly less polished and cautious."
run-2026-05-01-D002,E1,packet_9f2c5e29c0,R3,A3,2,Quartz,C4,comparing/authoring_results/run-2026-05-01-D002/C4_R3.md,1770,20,15,15,20,15,9,5,99,1,"Best overall balance of complete dossier fidelity, clear scientific article structure, strong reader guidance, and careful limits on uncertainty."
run-2026-05-01-D002,E1,packet_9f2c5e29c0,R3,A3,1,Meadow,C3,comparing/authoring_results/run-2026-05-01-D002/C3_R3.md,1565,20,15,15,19,15,9,4,97,2,"Very comprehensive and accurate with excellent evidentiary calibration, though slightly overlong and less economical than the top article."
run-2026-05-01-D002,E1,packet_9f2c5e29c0,R3,A3,3,Ivory,C5,comparing/authoring_results/run-2026-05-01-D002/C5_R3.md,1691,20,14,14,19,15,9,5,96,3,"Highly faithful and readable with strong mechanistic explanation, but slightly weaker methods orientation and article architecture."
run-2026-05-01-D002,E1,packet_9f2c5e29c0,R3,A3,4,Summit,C1,comparing/authoring_results/run-2026-05-01-D002/C1_R3.md,1818,19,14,14,19,15,9,5,95,4,"Polished and coherent with good caveats, but a few broader interpretive phrases and less explicit methods scaffolding keep it below the leaders."
run-2026-05-01-D002,E1,packet_9f2c5e29c0,R3,A3,5,Lantern,C2,comparing/authoring_results/run-2026-05-01-D002/C2_R3.md,1540,19,13,14,18,15,9,5,93,5,"Faithful and concise with good uncertainty handling, but comparatively less developed structure and evidence integration."
run-2026-05-01-D002,E1,packet_b01a49a839,R2,A5,2,Zephyr,C1,comparing/authoring_results/run-2026-05-01-D002/C1_R2.md,1791,19,14,14,19,15,9,5,95,1,"Best balance of comprehensive dossier coverage, coherent mechanism-first synthesis, and careful uncertainty around repair, evolution, and disease claims."
run-2026-05-01-D002,E1,packet_b01a49a839,R2,A5,1,Ember,C5,comparing/authoring_results/run-2026-05-01-D002/C5_R2.md,1661,19,15,14,18,14,9,5,94,2,"Exceptionally complete and well structured, with only slight bulk and occasional review-like expansiveness reducing its edge over Zephyr."
run-2026-05-01-D002,E1,packet_b01a49a839,R2,A5,3,Vale,C2,comparing/authoring_results/run-2026-05-01-D002/C2_R2.md,1802,18,14,14,18,14,9,5,92,3,"Very faithful and clearly organized, though marginally less polished in synthesis and framing than the top two articles."
run-2026-05-01-D002,E1,packet_b01a49a839,R2,A5,4,Dawn,C3,comparing/authoring_results/run-2026-05-01-D002/C3_R2.md,1802,18,14,13,18,13,9,5,90,4,"Strong and coherent overall, but a few phrases slightly overstate tentative evolutionary and differentiation conclusions."
run-2026-05-01-D002,E1,packet_b01a49a839,R2,A5,5,Granite,C4,comparing/authoring_results/run-2026-05-01-D002/C4_R2.md,1619,18,13,13,17,14,9,4,88,5,"Scientifically sound and cautious, but more compressed, less smoothly integrated, and weakened by an extraneous methods-summary ending."
run-2026-05-01-D002,E1,packet_c11b2acb3f,R2,A3,1,Dawn,C3,comparing/authoring_results/run-2026-05-01-D002/C3_R2.md,1802,20,15,15,20,15,9,5,99,1,"Most complete and best calibrated synthesis, preserving the mechanistic, organoid, isoform-specific, and disease-association limits with excellent structure."
run-2026-05-01-D002,E1,packet_c11b2acb3f,R2,A3,2,Granite,C4,comparing/authoring_results/run-2026-05-01-D002/C4_R2.md,1619,19,15,15,19,15,9,5,97,2,"Highly faithful and well organized, with strong uncertainty handling and only minor loss of integrative completeness compared with Dawn."
run-2026-05-01-D002,E1,packet_c11b2acb3f,R2,A3,5,Vale,C2,comparing/authoring_results/run-2026-05-01-D002/C2_R2.md,1802,19,14,14,18,15,9,5,94,3,"Faithful and detailed with good caveats, though slightly less polished and less smoothly synthesized than the top two."
run-2026-05-01-D002,E1,packet_c11b2acb3f,R2,A3,4,Zephyr,C1,comparing/authoring_results/run-2026-05-01-D002/C1_R2.md,1791,18,13,14,18,15,9,5,92,4,Clear and cautious article that captures the main claims but compresses or omits some quantitative and structural detail.
run-2026-05-01-D002,E1,packet_c11b2acb3f,R2,A3,3,Ember,C5,comparing/authoring_results/run-2026-05-01-D002/C5_R2.md,1661,18,12,13,17,15,8,5,88,5,"Accurate and readable but less complete and less polished, with weaker navigability and some missing dossier details."
run-2026-05-01-D002,E1,packet_d1ee18c91a,R1,A5,1,Juniper,C5,comparing/authoring_results/run-2026-05-01-D002/C5_R1.md,1808,20,15,15,20,15,9,5,99,1,"Most complete and best organized account, with excellent preservation of isoform specificity, APC mechanism, organoid limits and associative disease evidence."
run-2026-05-01-D002,E1,packet_d1ee18c91a,R1,A5,2,Amber,C1,comparing/authoring_results/run-2026-05-01-D002/C1_R1.md,1780,19,15,15,19,14,9,5,96,2,Highly accurate and reader-friendly synthesis that only loses minor ground for a compressed appended methods summary and slightly less rigorous uncertainty handling than Juniper.
run-2026-05-01-D002,E1,packet_d1ee18c91a,R1,A5,4,Fjord,C3,comparing/authoring_results/run-2026-05-01-D002/C3_R1.md,1798,19,14,14,19,15,9,5,95,3,"Very faithful and appropriately cautious, with strong mechanistic coverage but a more compressed results flow and slightly less orientation than the top two."
run-2026-05-01-D002,E1,packet_d1ee18c91a,R1,A5,3,Ridge,C2,comparing/authoring_results/run-2026-05-01-D002/C2_R1.md,1808,19,14,14,18,14,9,5,93,4,"Accurate and clear with helpful headings, though somewhat less complete in mechanistic and disease nuance than the leading articles."
run-2026-05-01-D002,E1,packet_d1ee18c91a,R1,A5,5,Tundra,C4,comparing/authoring_results/run-2026-05-01-D002/C4_R1.md,1811,18,14,14,18,14,9,5,92,5,Strong overall but modestly weaker because the broad methods reconstruction and a few expansive framings lean beyond the dossier more than the others.
