evaluator_id,packet_id,replicate_id,arrangement_id,position,nickname,condition_id,source_output_path,word_count
E1,packet_17ba1bd0a7,R2,A1,3,Dawn,C3,comparing/authoring_results/run-2026-05-01-D002/C3_R2.md,1802
E1,packet_17ba1bd0a7,R2,A1,4,Granite,C4,comparing/authoring_results/run-2026-05-01-D002/C4_R2.md,1619
E1,packet_17ba1bd0a7,R2,A1,5,Ember,C5,comparing/authoring_results/run-2026-05-01-D002/C5_R2.md,1661
E1,packet_2b4a406b49,R2,A2,1,Vale,C2,comparing/authoring_results/run-2026-05-01-D002/C2_R2.md,1802
E1,packet_2b4a406b49,R2,A2,2,Dawn,C3,comparing/authoring_results/run-2026-05-01-D002/C3_R2.md,1802
E1,packet_2b4a406b49,R2,A2,3,Granite,C4,comparing/authoring_results/run-2026-05-01-D002/C4_R2.md,1619
E1,packet_2b4a406b49,R2,A2,4,Ember,C5,comparing/authoring_results/run-2026-05-01-D002/C5_R2.md,1661
E1,packet_2b4a406b49,R2,A2,5,Zephyr,C1,comparing/authoring_results/run-2026-05-01-D002/C1_R2.md,1791
E1,packet_c11b2acb3f,R2,A3,1,Dawn,C3,comparing/authoring_results/run-2026-05-01-D002/C3_R2.md,1802
E1,packet_c11b2acb3f,R2,A3,2,Granite,C4,comparing/authoring_results/run-2026-05-01-D002/C4_R2.md,1619
E1,packet_c11b2acb3f,R2,A3,3,Ember,C5,comparing/authoring_results/run-2026-05-01-D002/C5_R2.md,1661
E1,packet_c11b2acb3f,R2,A3,4,Zephyr,C1,comparing/authoring_results/run-2026-05-01-D002/C1_R2.md,1791
E1,packet_c11b2acb3f,R2,A3,5,Vale,C2,comparing/authoring_results/run-2026-05-01-D002/C2_R2.md,1802
E1,packet_2fba4c53cc,R2,A4,1,Granite,C4,comparing/authoring_results/run-2026-05-01-D002/C4_R2.md,1619
E1,packet_2fba4c53cc,R2,A4,2,Ember,C5,comparing/authoring_results/run-2026-05-01-D002/C5_R2.md,1661
E1,packet_2fba4c53cc,R2,A4,3,Zephyr,C1,comparing/authoring_results/run-2026-05-01-D002/C1_R2.md,1791
E1,packet_2fba4c53cc,R2,A4,4,Vale,C2,comparing/authoring_results/run-2026-05-01-D002/C2_R2.md,1802
E1,packet_2fba4c53cc,R2,A4,5,Dawn,C3,comparing/authoring_results/run-2026-05-01-D002/C3_R2.md,1802
E1,packet_b01a49a839,R2,A5,1,Ember,C5,comparing/authoring_results/run-2026-05-01-D002/C5_R2.md,1661
E1,packet_b01a49a839,R2,A5,2,Zephyr,C1,comparing/authoring_results/run-2026-05-01-D002/C1_R2.md,1791
E1,packet_b01a49a839,R2,A5,3,Vale,C2,comparing/authoring_results/run-2026-05-01-D002/C2_R2.md,1802
E1,packet_b01a49a839,R2,A5,4,Dawn,C3,comparing/authoring_results/run-2026-05-01-D002/C3_R2.md,1802
E1,packet_b01a49a839,R2,A5,5,Granite,C4,comparing/authoring_results/run-2026-05-01-D002/C4_R2.md,1619
E1,packet_561af11b5e,R3,A1,1,Summit,C1,comparing/authoring_results/run-2026-05-01-D002/C1_R3.md,1818
E1,packet_561af11b5e,R3,A1,2,Lantern,C2,comparing/authoring_results/run-2026-05-01-D002/C2_R3.md,1540
E1,packet_561af11b5e,R3,A1,3,Meadow,C3,comparing/authoring_results/run-2026-05-01-D002/C3_R3.md,1565
E1,packet_561af11b5e,R3,A1,4,Quartz,C4,comparing/authoring_results/run-2026-05-01-D002/C4_R3.md,1770
E1,packet_561af11b5e,R3,A1,5,Ivory,C5,comparing/authoring_results/run-2026-05-01-D002/C5_R3.md,1691
E1,packet_8f2288ad73,R3,A2,1,Lantern,C2,comparing/authoring_results/run-2026-05-01-D002/C2_R3.md,1540
E1,packet_8f2288ad73,R3,A2,2,Meadow,C3,comparing/authoring_results/run-2026-05-01-D002/C3_R3.md,1565
E1,packet_8f2288ad73,R3,A2,3,Quartz,C4,comparing/authoring_results/run-2026-05-01-D002/C4_R3.md,1770
E1,packet_8f2288ad73,R3,A2,4,Ivory,C5,comparing/authoring_results/run-2026-05-01-D002/C5_R3.md,1691
E1,packet_8f2288ad73,R3,A2,5,Summit,C1,comparing/authoring_results/run-2026-05-01-D002/C1_R3.md,1818
E1,packet_9f2c5e29c0,R3,A3,1,Meadow,C3,comparing/authoring_results/run-2026-05-01-D002/C3_R3.md,1565
E1,packet_9f2c5e29c0,R3,A3,2,Quartz,C4,comparing/authoring_results/run-2026-05-01-D002/C4_R3.md,1770
E1,packet_9f2c5e29c0,R3,A3,3,Ivory,C5,comparing/authoring_results/run-2026-05-01-D002/C5_R3.md,1691
E1,packet_9f2c5e29c0,R3,A3,4,Summit,C1,comparing/authoring_results/run-2026-05-01-D002/C1_R3.md,1818
E1,packet_9f2c5e29c0,R3,A3,5,Lantern,C2,comparing/authoring_results/run-2026-05-01-D002/C2_R3.md,1540
E1,packet_0d8c567b59,R3,A4,1,Quartz,C4,comparing/authoring_results/run-2026-05-01-D002/C4_R3.md,1770
E1,packet_0d8c567b59,R3,A4,2,Ivory,C5,comparing/authoring_results/run-2026-05-01-D002/C5_R3.md,1691
E1,packet_0d8c567b59,R3,A4,3,Summit,C1,comparing/authoring_results/run-2026-05-01-D002/C1_R3.md,1818
E1,packet_0d8c567b59,R3,A4,4,Lantern,C2,comparing/authoring_results/run-2026-05-01-D002/C2_R3.md,1540
E1,packet_0d8c567b59,R3,A4,5,Meadow,C3,comparing/authoring_results/run-2026-05-01-D002/C3_R3.md,1565
E1,packet_1cfba51daa,R3,A5,1,Ivory,C5,comparing/authoring_results/run-2026-05-01-D002/C5_R3.md,1691
E1,packet_1cfba51daa,R3,A5,2,Summit,C1,comparing/authoring_results/run-2026-05-01-D002/C1_R3.md,1818
E1,packet_1cfba51daa,R3,A5,3,Lantern,C2,comparing/authoring_results/run-2026-05-01-D002/C2_R3.md,1540
E1,packet_1cfba51daa,R3,A5,4,Meadow,C3,comparing/authoring_results/run-2026-05-01-D002/C3_R3.md,1565
E1,packet_1cfba51daa,R3,A5,5,Quartz,C4,comparing/authoring_results/run-2026-05-01-D002/C4_R3.md,1770
