evaluator_id	article_a	article_b	preferred_article	reason
E2	Article_E	Article_K	Article_E	Article_E is preferred because it preserves dossier-supported claims and caveats more reliably than Article_K.
E2	Article_E	Article_J	Article_E	Article_E is preferred because it preserves dossier-supported claims and caveats more reliably than Article_J.
E2	Article_B	Article_A	Article_B	Article_B is preferred because it preserves dossier-supported claims and caveats more reliably than Article_A.
E2	Article_B	Article_L	Article_B	Article_B is preferred narrowly because it gives a more coherent and better bounded account of the same dossier-supported mechanism than Article_L.
E2	Article_B	Article_G	Article_B	Article_B is preferred narrowly because it gives a more coherent and better bounded account of the same dossier-supported mechanism than Article_G.
E2	Article_B	Article_K	Article_B	Article_B is preferred because it preserves dossier-supported claims and caveats more reliably than Article_K.
E2	Article_B	Article_J	Article_B	Article_B is preferred because it preserves dossier-supported claims and caveats more reliably than Article_J.
E2	Article_A	Article_L	Article_L	Article_L is preferred because it preserves dossier-supported claims and caveats more reliably than Article_A.
E2	Article_A	Article_G	Article_G	Article_G is preferred because it preserves dossier-supported claims and caveats more reliably than Article_A.
E2	Article_A	Article_K	Article_K	Article_K is preferred because it preserves dossier-supported claims and caveats more reliably than Article_A.
E2	Article_A	Article_J	Article_J	Article_J is preferred because it preserves dossier-supported claims and caveats more reliably than Article_A.
E2	Article_L	Article_G	Article_L	Article_L is preferred narrowly because it gives a more coherent and better bounded account of the same dossier-supported mechanism than Article_G.
E2	Article_L	Article_K	Article_L	Article_L is preferred narrowly because it gives a more coherent and better bounded account of the same dossier-supported mechanism than Article_K.
E2	Article_L	Article_J	Article_L	Article_L is preferred because its mechanistic progression and paragraph coherence are stronger than Article_J.
E2	Article_G	Article_K	Article_G	Article_G is preferred narrowly because it gives a more coherent and better bounded account of the same dossier-supported mechanism than Article_K.
E2	Article_G	Article_J	Article_G	Article_G is preferred narrowly because it gives a more coherent and better bounded account of the same dossier-supported mechanism than Article_J.
E2	Article_K	Article_J	Article_K	Article_K is preferred narrowly because it gives a more coherent and better bounded account of the same dossier-supported mechanism than Article_J.
